,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003210245273036,3.920557084342134,4.1557075022276155,3.527651307171972,3.920344894692973,4.142942413414398,2.655736618105435,4.066546980084606,4.010421553280932,3.8053952356934837,3.536376444207326,3.560049018473223,4.960112863366601,3.9993498368049987,3.2662978884523977,3.8868451096493053,2.376876386016282,3.152422942080676,4.116276541004829,3.405698825921236,4.011700288883579,3.609299590076425,3.481909834598078,3.7984127465445012,3.797075836515065,3.98457335857445,3.330460742084229,3.9905372172779146,3.457346833764205,3.1076746201017476,2.722903213381513,3.3555031722498025,3.0406770537701493,4.568979529866931
2,4.970690970997338,4.967978144848191,4.445381804386026,3.903582593858853,4.831456705242713,4.706444043422636,3.39399498050007,4.698950139029728,4.53185265379627,4.8375093725084195,3.9626725281311828,4.06640495412175,4.776347733404979,4.012888941894993,3.9985037320020376,4.217566439228692,2.525502365523583,3.5430485218469188,4.198806459409555,4.39837335417765,4.993934286513742,4.5737623614083605,3.822422006565219,4.732337295068443,4.314390604832402,4.494197014122609,4.414750105115677,4.163941423462169,3.4624570819894607,4.389479666081154,2.994312115128714,4.346957578653433,4.013086244425081,3.999404991953325
3,4.017214662129577,3.985683458934003,4.955723853134451,4.088417333895402,4.528638386283771,4.2712115628071725,2.8185814385910577,4.338064306572776,4.491369476989582,4.367816937610382,3.7246313175108057,3.5321577244922926,4.964914270112441,4.196605447124607,3.443543052244793,3.6212998173901148,2.7455825074075486,3.4203384055119983,4.214176955360005,3.502104877472143,4.4401573951667395,3.010945840428857,3.0160104284946785,3.863090042572423,4.080805672212975,4.317059645064659,3.8797570197614992,4.474679236068884,3.206091077028894,3.237402351803734,2.231893532981882,2.5902568635531247,3.4451790742178825,4.597625162917979
4,4.99106807458129,4.987251781110145,4.929125053653944,4.961955807553891,5.010575554415435,4.961554619658276,3.9447573030272034,5.0761437369549025,4.9520209681049545,5.0173017074275865,4.511528410366802,3.8222861542860587,5.000366140984426,4.2042250055176416,3.5828966011610914,4.371827968305446,3.122500534835914,3.541791611298162,4.3411999060109405,3.9820698849246727,4.722191029817265,4.59158353945707,3.598521619587278,4.979606972763269,4.062725458234952,4.741904691659287,4.503184876273457,4.9067767504109066,3.1166708221139485,3.413724260030118,2.0076666809930863,4.223553760233887,4.1717165071495526,4.644242981580046
5,4.980612358311908,4.240358589804914,5.461264203791584,4.373255732938625,5.163253295491419,4.554755093045307,3.1516851199187133,4.63739966218467,4.982058203060683,4.919357614302587,4.143377838162151,4.107030039771778,4.969254763103909,4.677227177103955,3.29371711982519,4.269824868932918,3.023543589931965,3.437333288966205,4.969743378494774,3.390799514474683,3.99505006159163,3.4892027155036733,3.1089472397923217,4.432490418765881,4.506096041376307,4.7228974490561795,3.7372463629187447,5.073934945044454,3.017241699964141,3.61054468617974,2.9962614520287603,2.0318018322833393,4.980759602886118,4.987310159058821
6,4.97066483921088,4.964540841617323,4.16887755591196,3.8776943726688646,4.506847692069593,4.541586925069025,3.5545915165427853,4.708111702510675,4.286965819166707,4.623712952289609,3.884582644847364,3.7875293893902326,4.322143924751181,3.631675597519988,3.9070143460050617,4.0997502099825995,2.5453696711959433,3.0857595253578958,3.735594175187632,4.184031996304361,4.888111717247515,4.814928374238667,3.9070168576851305,4.846978055601786,4.016157128424712,4.218067081366473,4.734062343510947,3.8379428889523077,3.475636759713973,3.8115185721132714,2.010720584267065,4.9792829076200995,4.001681362699346,3.0166535090854656
7,4.97886083673529,4.184364378259657,4.220083375914806,2.041101525843856,4.145616473766364,4.2385815185488065,2.8279557838715648,4.041091158082819,4.001182178508613,4.114974920887363,3.328127924376587,4.967702604953241,4.988578321076866,4.913109915949203,4.040224775625236,4.9834628815839315,2.130595830865279,2.9398764535705455,4.260333161520376,4.5220104959729905,4.6193975335218,4.9959493718232295,4.981599154054301,4.69329881590622,4.5474164125481,3.987606039241857,3.7971136978876623,3.6675026522585203,5.167407311342554,4.446578394914141,4.283406318863019,4.518321907176579,4.58157809286187,4.00294077768169
8,4.033172316309534,4.610770024275383,4.988344325226173,4.093391551445076,4.812431769053857,4.380079690972925,3.4541439769235427,4.4568162996308756,4.89302977621417,5.002084225359827,4.260867164915103,4.0297279598653715,4.414318502145527,4.984760216171972,3.4822102447339223,4.047894656314725,3.3100879169827144,4.057436195503941,3.665302160471042,3.938905145829845,5.038584234609222,3.6352137811686496,3.001193503160701,4.480285040000367,4.267375905736075,4.697497116338741,4.961256564446507,4.96459341286985,3.40122330863962,3.473818007616643,2.0983271358477147,3.154435850200666,3.795326346089016,4.455105148863616
9,4.985846572165238,4.640022071990901,4.999134906725291,4.1431657070988885,4.872021814681426,4.6679819345974325,3.4077877884006593,4.796458563368992,4.769233146850551,4.763388616255482,4.3524044222262654,4.289557385192687,4.999037903427812,4.867679521350705,3.3623698107005873,4.977783505894873,2.9799159199488088,3.4527304696506906,4.365247728139367,3.58882993574612,4.595538767473333,4.56570008954081,3.97265412247525,4.753764666506719,4.420987606450007,4.743276815855964,4.0538154674689455,4.9749836258721905,3.9982964920153665,3.446850534008186,2.6124190059187,3.734487300156996,4.4614233908672105,4.890522445043629
10,4.009595570026793,3.9850206478496424,4.000591317796057,2.524689780233452,3.9245288668069933,4.251533626787088,2.778328546397843,4.018310874557084,4.007693673975529,3.9033380272589646,2.5111836266711807,4.011568723118233,4.990414308966215,3.0193889100170703,4.950860037508035,3.54932378589286,2.9432222277655518,2.7944411196556453,4.51785056134955,5.085130854853899,3.9785865984126874,4.0015923149493124,4.960485550116743,4.037073307818717,3.6450811192027155,3.572085522831741,3.8978578657777843,3.2068477465454635,4.997900128616991,5.328558306059421,2.9675220341733723,4.659972421909235,3.3004041944994476,4.0210180975121546
